,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport,BlueWin
57,Chogath,Rammus,Zed,MissFortune,Pyke,Sion,Khazix,Kassadin,Tristana,Brand,False
58,Shen,Nunu,Pantheon,Ashe,Morgana,Illaoi,MonkeyKing,Neeko,MissFortune,Seraphine,False
59,Garen,Nunu,TwistedFate,Vayne,Zyra,Teemo,Hecarim,Veigar,Jhin,Morgana,False
60,Mordekaiser,MasterYi,Leblanc,Caitlyn,Yuumi,Shen,Nunu,Gragas,Twitch,Anivia,False
61,Mordekaiser,MasterYi,Varus,Caitlyn,Yuumi,Singed,Warwick,Sylas,Jinx,Lux,False
62,Yone,Sion,Lux,Nilah,Soraka,Nasus,Amumu,Orianna,Caitlyn,Yuumi,False
63,Teemo,Sion,Ryze,KogMaw,Yuumi,Olaf,Warwick,Orianna,Kalista,Leona,False
64,Lillia,Sion,Lux,Ezreal,Yuumi,Mordekaiser,Belveth,Ahri,MissFortune,Nami,False
65,Vayne,Shaco,Brand,Jhin,Karma,Kled,Sion,Yone,Ezreal,Yuumi,True
66,Irelia,Sion,Yone,Sivir,Yuumi,Aatrox,MasterYi,Heimerdinger,MissFortune,Blitzcrank,False
67,Yorick,Sion,Ashe,Yasuo,Morgana,Seraphine,Evelynn,Tristana,Varus,Yuumi,False
68,Yasuo,MasterYi,Akali,Jhin,Yuumi,Yorick,Ekko,Neeko,Twitch,Nautilus,True
69,Tryndamere,Amumu,Akali,Samira,Yuumi,Aatrox,Shyvana,Kayle,Tristana,Mordekaiser,False
70,Renekton,Warwick,Singed,Draven,Yuumi,Teemo,Sion,Malzahar,Twitch,Rell,False
71,Neeko,Warwick,Veigar,Caitlyn,Yuumi,Gangplank,Belveth,Fizz,MissFortune,Zyra,False
72,Garen,MasterYi,Azir,MissFortune,Yuumi,Vayne,Rengar,Akali,Sivir,Bard,False
73,Kayle,Amumu,Teemo,Twitch,Yuumi,Illaoi,Evelynn,Jax,Ziggs,Brand,False
74,Malphite,Sion,Brand,Caitlyn,Yuumi,Sylas,MasterYi,Zed,Kaisa,Pyke,False
75,Shen,Sion,Taliyah,Zeri,Yuumi,TahmKench,Udyr,Kassadin,Tristana,Lux,False
76,Chogath,Shaco,Fizz,Samira,Renata,DrMundo,Sion,Lux,Ashe,Yuumi,True
77,Renekton,Hecarim,Diana,Caitlyn,Senna,Mordekaiser,Sion,Velkoz,Twitch,Yuumi,True
78,Maokai,Shen,Renekton,Zac,Darius,Aphelios,Teemo,Yuumi,Yasuo,Zed,True
79,Jinx,Lux,Soraka,Yasuo,Gangplank,Darius,Lux,Zed,Sylas,Tristana,False
80,Mordekaiser,Nocturne,Syndra,Kaisa,Maokai,Garen,Warwick,Sylas,Ashe,Braum,False
81,KSante,Garen,Yone,KogMaw,Lulu,Heimerdinger,Kindred,Pantheon,Teemo,Morgana,True
82,Garen,Ekko,Kled,Teemo,Morgana,Darius,Hecarim,Yasuo,Xayah,Yuumi,False
83,Jax,MasterYi,Vladimir,Jinx,Sona,Teemo,Nocturne,Lux,Ashe,Yuumi,True
84,Mordekaiser,Hecarim,Zoe,MissFortune,Yuumi,Gwen,Viego,Veigar,Varus,Twitch,False
85,Lillia,Sion,Lux,Ezreal,Yuumi,Mordekaiser,Belveth,Ahri,MissFortune,Nami,False
86,Olaf,Maokai,Zed,Vayne,Anivia,Chogath,Udyr,Viktor,Tristana,Nami,False
87,Nasus,Kayn,Neeko,Caitlyn,Lux,Mordekaiser,Shaco,Veigar,Ashe,Brand,True
88,Olaf,Kindred,Zoe,Kaisa,Sylas,Tryndamere,Shaco,Anivia,Ashe,Yuumi,True
89,Nasus,Nunu,Ahri,Ashe,Nami,Teemo,Shaco,Akali,Tristana,Yuumi,True
90,Nasus,Udyr,Xerath,Jhin,Ashe,Mordekaiser,Belveth,Irelia,Caitlyn,Veigar,True
91,Chogath,MasterYi,Seraphine,Vayne,Pyke,Tryndamere,Sylas,Kled,Caitlyn,Morgana,True
92,Tryndamere,MasterYi,Veigar,Ashe,Lux,Garen,Nocturne,Ekko,Jhin,Morgana,False
93,Mordekaiser,Kindred,Katarina,Ashe,Leona,Darius,Olaf,Ahri,Jhin,Malphite,True
94,Mordekaiser,Warwick,Azir,Jhin,Senna,Sion,Leona,Qiyana,Kaisa,Nidalee,False
95,Chogath,Diana,Veigar,Caitlyn,Yuumi,Olaf,Udyr,Akshan,Kaisa,Morgana,False
96,Jax,Kayn,Malzahar,Twitch,Seraphine,Poppy,Lillia,Zoe,MissFortune,Ahri,True
97,Quinn,MasterYi,Veigar,Samira,Morgana,Lillia,Kayn,Katarina,Kalista,Swain,False
98,Mordekaiser,Rengar,Shen,Ashe,Pyke,Illaoi,Khazix,Lux,Aphelios,Nautilus,False
99,Vladimir,Pantheon,Veigar,Samira,Renata,Darius,Kindred,Malzahar,Ashe,Pyke,False
100,Garen,MasterYi,Vex,Draven,Lux,Urgot,Darius,Karma,Jhin,Seraphine,False
101,Garen,Nunu,Seraphine,MissFortune,Sona,Malphite,Mordekaiser,Ahri,Zeri,Yuumi,False
102,Heimerdinger,MasterYi,Leblanc,Lux,Yuumi,Illaoi,Nunu,Xerath,Ashe,Annie,True
103,Illaoi,Nunu,Sylas,Jhin,Yuumi,Mordekaiser,Viego,DrMundo,Ashe,Janna,False
104,Morgana,Volibear,Yone,Caitlyn,Blitzcrank,Yasuo,Amumu,Vayne,Rengar,Sona,True
105,Yorick,Belveth,Irelia,Varus,Yuumi,Shen,Amumu,Malzahar,Twitch,Ashe,True
106,Vladimir,XinZhao,Yone,Vayne,Lux,Garen,Amumu,Cassiopeia,Sivir,Velkoz,True
107,DrMundo,Rammus,Tristana,Samira,Soraka,Kayle,MasterYi,Heimerdinger,Ashe,Yuumi,False
108,Kayle,Shaco,Syndra,Sivir,Sona,Yone,MasterYi,Vex,Jinx,Yuumi,True
109,Darius,Volibear,Leblanc,MissFortune,Sona,Sett,MasterYi,Gangplank,Kaisa,Morgana,True
110,Nasus,Hecarim,Akali,Ezreal,Velkoz,Riven,MasterYi,Rumble,Kaisa,Yuumi,True
111,Jax,Kayn,Morgana,Kalista,Teemo,Illaoi,MasterYi,Anivia,Cassiopeia,Taric,True
112,Shen,Nunu,Zac,Samira,Janna,DrMundo,Tryndamere,Yone,Heimerdinger,Pantheon,False
113,Garen,Nunu,Velkoz,Kaisa,Lux,DrMundo,Warwick,Graves,Ashe,Leona,False
114,Nasus,Amumu,Neeko,Varus,Blitzcrank,Garen,Viego,Talon,Kalista,Xerath,False
115,MissFortune,Soraka,Kalista,Teemo,Lucian,Ezreal,Nasus,Ryze,Alistar,Galio,True
116,Rammus,Jinx,Lucian,Akshan,MissFortune,Ezreal,Nasus,Ryze,Alistar,Galio,True
117,MissFortune,Akshan,Kalista,MasterYi,Lucian,Ezreal,Nasus,Ryze,Alistar,Galio,True
118,Jax,Sylas,Kassadin,Caitlyn,Blitzcrank,Fiora,Nunu,Akshan,Ezreal,Nami,True
119,Illaoi,Amumu,Ryze,MissFortune,Teemo,Sett,Warwick,Morgana,Samira,Nautilus,True
120,Gangplank,Shaco,Sylas,Kaisa,Zyra,Jax,Amumu,Akali,Ezreal,Swain,False
121,Yone,Vi,Irelia,Jinx,Nautilus,Mordekaiser,Nunu,Kassadin,Zeri,Amumu,True
122,Amumu,MissFortune,Kalista,Lucian,Teemo,Ezreal,Nasus,Ryze,Alistar,Galio,True
123,Amumu,Teemo,Lucian,MissFortune,Akshan,Ezreal,Nasus,Ryze,Alistar,Galio,True
124,Jax,Amumu,Malzahar,Tristana,Blitzcrank,Sett,Rammus,Zed,Jinx,Morgana,True
125,Volibear,Rengar,Katarina,Samira,Swain,DrMundo,Amumu,Yasuo,Kaisa,Morgana,True
126,Riven,Amumu,Zoe,Caitlyn,Lux,Nasus,Mordekaiser,Ahri,MissFortune,Swain,False
