,0
14,"['NA1_4544919649', 'NA1_4544908787', 'NA1_4544873744', 'NA1_4544838634', 'NA1_4544821018', 'NA1_4544794102', 'NA1_4544756341', 'NA1_4544728853', 'NA1_4544701652', 'NA1_4544645866', 'NA1_4544619411', 'NA1_4544613505', 'NA1_4544600514', 'NA1_4544580281', 'NA1_4544570426', 'NA1_4544553225', 'NA1_4544535605', 'NA1_4544526540', 'NA1_4544513597', 'NA1_4544506117']"
15,"['NA1_4545769342', 'NA1_4545745144', 'NA1_4545712041', 'NA1_4545365386', 'NA1_4545355208', 'NA1_4545340295', 'NA1_4545318359', 'NA1_4545309171', 'NA1_4545294695', 'NA1_4545278913', 'NA1_4545257273', 'NA1_4545242592', 'NA1_4545207667', 'NA1_4545171856', 'NA1_4545123077', 'NA1_4545076638', 'NA1_4545041442', 'NA1_4544997153', 'NA1_4544950693', 'NA1_4544899561']"
16,"['NA1_4546672571', 'NA1_4546672895', 'NA1_4546640268', 'NA1_4546613451', 'NA1_4546597776', 'NA1_4546565157', 'NA1_4546502083', 'NA1_4546489880', 'NA1_4546474019', 'NA1_4546462962', 'NA1_4546439654', 'NA1_4546436428', 'NA1_4546427087', 'NA1_4546412454', 'NA1_4546404405', 'NA1_4546393412', 'NA1_4546386148', 'NA1_4546374210', 'NA1_4546359387', 'NA1_4546342327']"
17,"['NA1_4546685549', 'NA1_4546648443', 'NA1_4546627309', 'NA1_4546586489', 'NA1_4546562622', 'NA1_4546559747', 'NA1_4546524829', 'NA1_4546495621', 'NA1_4546156141', 'NA1_4546124218', 'NA1_4546096951', 'NA1_4546077475', 'NA1_4546042277', 'NA1_4545989059', 'NA1_4545922712', 'NA1_4545897053', 'NA1_4545854486', 'NA1_4545805623', 'NA1_4545759422', 'NA1_4545715979']"
18,"['NA1_4546664203', 'NA1_4546654004', 'NA1_4546630269', 'NA1_4546604089', 'NA1_4546594804', 'NA1_4546573564', 'NA1_4546549654', 'NA1_4546536607', 'NA1_4546525398', 'NA1_4546512256', 'NA1_4546500428', 'NA1_4546486638', 'NA1_4546434011', 'NA1_4546419162', 'NA1_4546407306', 'NA1_4546403296', 'NA1_4546392193', 'NA1_4546379622', 'NA1_4546376131', 'NA1_4546353658']"
19,"['NA1_4546543718', 'NA1_4546522214', 'NA1_4546507078', 'NA1_4546490434', 'NA1_4546486747', 'NA1_4546464536', 'NA1_4546460119', 'NA1_4546437887', 'NA1_4546421542', 'NA1_4546417850', 'NA1_4546395512', 'NA1_4546387682', 'NA1_4546389089', 'NA1_4546365425', 'NA1_4546359966', 'NA1_4546335388', 'NA1_4546318445', 'NA1_4546302742', 'NA1_4546269828', 'NA1_4546248007']"
20,"['NA1_4545915870', 'NA1_4545827778', 'NA1_4545787390', 'NA1_4545767062', 'NA1_4545744229', 'NA1_4545728886', 'NA1_4545685366', 'NA1_4545647768', 'NA1_4545622180', 'NA1_4545586677', 'NA1_4545580133', 'NA1_4545533654', 'NA1_4545535987', 'NA1_4545501641', 'NA1_4545496336', 'NA1_4545476444', 'NA1_4545479917', 'NA1_4545465865', 'NA1_4545443718', 'NA1_4545455005']"
21,"['NA1_4546414738', 'NA1_4546379078', 'NA1_4545705314', 'NA1_4545669636', 'NA1_4545669897', 'NA1_4545660035', 'NA1_4545642627', 'NA1_4545636587', 'NA1_4545622776', 'NA1_4545608517', 'NA1_4545593814', 'NA1_4545574616', 'NA1_4545565620', 'NA1_4545554606', 'NA1_4545552970', 'NA1_4545524581', 'NA1_4545514566', 'NA1_4545516957', 'NA1_4545505283', 'NA1_4545495512']"
22,"['NA1_4545915870', 'NA1_4545865854', 'NA1_4545850976', 'NA1_4545827778', 'NA1_4545787390', 'NA1_4545767062', 'NA1_4545744229', 'NA1_4545728886', 'NA1_4545685366', 'NA1_4545560605', 'NA1_4545550700', 'NA1_4545548867', 'NA1_4545536320', 'NA1_4545502356', 'NA1_4545497087', 'NA1_4545272288', 'NA1_4545236116', 'NA1_4545215000', 'NA1_4545080473', 'NA1_4545045191']"
23,"['NA1_4546288012', 'NA1_4546241101', 'NA1_4546143135', 'NA1_4546083618', 'NA1_4545979833', 'NA1_4545900197', 'NA1_4545808180', 'NA1_4545754709', 'NA1_4545721441', 'NA1_4545684200', 'NA1_4545673857', 'NA1_4545635444', 'NA1_4545616276', 'NA1_4545594965', 'NA1_4545571141', 'NA1_4545556359', 'NA1_4545534642', 'NA1_4545517637', 'NA1_4545500403', 'NA1_4545484882']"
